secp256k1,0xd88b5b823ab198782a96c71e8245192a5a2ede28397dab48bf89b30fa725cb58,0x41c49fbc06c69bd3334dc758d07e852a1002da5e2087b61ad6f81079d6e115fd
60e1887087d5c760ac0eef7db8d0cb66d5cc07819b81df26c1072bd736b1f18a,-5974f2451c5f983e5cf4a98e22043df9d515d034d273c733f9b310daeb575b8c,131072
84a074cddf27195429aeda6d8ec6a8ddd489f32bad70b0484135d81de3ada57a,-9a1164edc60a772189c6e17a7a136433969091a854cd3b9e1009a3cd0a85e02b,131072
a62288609bbadf3b986124079ba3f5032ad5bcea104703ff0f1e767fddcea513,-91570c34a21804d57b2028363cde478619275f6d157e3146a4f70d937bd58a3d,131072
d40b9308ac2eaed2048694c527737ba92fe9d8b81284ec8de4f22ccf969bff5d,-50164ab14c6bb4a4ef48d96a1841ca08e8d9703867956bb067bd7e23d3901c4b,131072
af6a2f0aabbcda8f200cd3ebf5abc87045328b9513868d2becbad4df0d3c17e1,-286ff6b6e3db1e4e50c311eeaa8b485e9b5075cf7b44a051c9c2165b6ff7f141,131071
5630741c02a789e6adf991c123b010b229b7537a462c533052b4f8508838fe6d,-7c84b08b4643aa135d459b700df1f9f79b079d621e9b0e70dc35f5f59fa17faf,131072
e033cc844a6761f0c75f8f503f612c925450b30f2fc08453500e566cc0a57871,-20a944c840eb8c39724f55c8a344c0e977811510c4a84b3ec6c94168508d1620,131072
6877293d3f5d0b089e101ccee18817657d40f1a304f32b831dd556736eac50c1,-74f47f42772f153f926590469a5951ab46fdf4d1ba7b6b920579bfa4460e66cf,131072
6e158364d2c134ad9d6ed97bff6523ce74482e809a5f7aa7b2828a2d49a5524f,-7e7f89e66b37206e9297f54cac0f6cbc68054d2b77ba95fdbad8f8640eeb064f,131071
32dac0d91ed98708d340b9b47243180f38a51b7739be409b3ded60923effed1a,-e560c9175085958df981fdaf9aafb55fa133170681cf58d7fa72d84237982e38,131072
95fed284e0cf67dda104029bc1672138b9c10794364ec60ad77cd43ab2870ac4,-c4333adb6c4a2b4b4e322379ebe8f3b5fa226bdd635203fc1e9cc8441598e771,131072
a896c725ebb40177c14f2bdf8f38fd20aadbabb7f9139f1f5493d8b9f6c9a599,-3bddd9e200f88fae0051a9721cb3203724cb5ae30735788ddbd7f164b6095e96,131072
ba72233f711c425e8c165fbd0b35aa4ba9b807a9eb150d07477156254d99e202,-72a3713c091191c3f965ffe11f943382510837e398eedc6d51e764f4559f75b0,131072
19a9f653932016354bfefc9045c526699a8dc4514b51e544f03c9ba190b3e862,-2e7d168be122355bc32b144725e581ff69b1e2f864f3ac2926a961064f196934,131072
4af29229366647582e924e7545c38bafd975453f885ed8aaee499f0709382fdb,-a10fefcbfc454acf9ebf11d27527f9d450ead5f0b7bc9690d695f8a9ec4443f,131072
66488147b619fa70e6b9b95c416e1ab7d08e5affdf0bdef3f058998d5163529d,-8448e2c4e274d5ea19875468128903b5f8697ef0d6ca37de10e91b3f677783fa,131072
47fd89ade47157a120710469b61d8301b11993222cd4ac7538505cd311b43c05,-8199bb242994b37b4026a5eb24bca4242be5bf50aa660349dcb228c0e7b9d988,131072
50943a4cafaac823a5415b321eac1081cb60eccbfb2ae26dce2ca4ce6da7b1,-68910817f73cda5aff5a8e3247f769fb98812852ca0617c847233c5ffd9f749c,131072
44a8801b80ff27199aa3a46073c16114e175635d495e2041286915265df56bda,-9e6386225a68723c825e8b31cd221d5842e43de78f19ca8b5551fbb633e5d41f,131072
ef446a8ad159b650c037e2905574052663a77d742acefe334c332fcf93d1ef48,-fcab4bb8a8a5d10063c5e025a81e49143e9cac6bcbe4b7231ac2cafda0bf157f,131072
374d646f96c6db3e7446d9515bfffda323cce4ca22b39bfa8e5513b63d0678b0,-49d6a1105ace2d8b837e68a7054f7267d97ecc0c17dc38d6b79e7c8ca359b492,131072
ed046c9bf355f70f3fd2e028a4d462386d6af9ff62d20fd23d42dfcb98517545,-5024cf17bbd54e6d5e5c7629fd0f72810cbe21ef1e8d5ed965f230bca027457a,131072
