secp256r1,0xb6d40e4c62d6f221a50698a009d130e9d3c7a783752ed7a02a6c22fd554b20d8,0x491abf1e4bdf4a718d72520e11ce3ce91cbbb17c47d8b92d87835af9819d7abc
b453e2900b7a79a5bbbe20e6a65fd691f36dde0cae1eec27a6940bffe7ce62de,-e56ecf117e109b84a386dcc67000e348b8c641c8ab95701e575d6dde9f833df,31
8ae7723b1321b221b354a439f14d342d19c53d90cadb1a70d5e4551391be6b0a,-6862fad48818aa77d3b69d37cb903aad3e7975d2d536dd4f7627f5ab57d04495,32
2de52d0f104cab1ae79bb036c0ee765ec0e239b72f7766d68e86a0ed1edfe9e6,-4ffe2bad4d736d528664fac8c64fe28638c087fb118979d83de9a143290289b6,31
55c7591ba1f48d560288ff370aa638543e038552382a27bfa739f4ed5f60d4d5,-a3e124cda10db54a885c1c2cee152639d772a9310b1d976aa318c396da67d7b7,32
cc35b1d91498e22a497c2655f7baa3a251b4b9ad87522f742aecda5383efec23,-91f5d0d24a1725cab0fa19d91e98f9832b1e8c85f4ff8c36032eb9576c5369f4,32
fc06fb9ae2461fc8df38cac1b062c82120707ef7a08b22259b2e9ee210e85fbb,-ef7a265be021e7122d7c56dbf323adcb96dfb35dcd820cd66ea3379cf361b661,31
8ef10e26e348218ca80e7db2e7d9db1e799a987a2c95eb59c474c3cc54a2599a,-84bc3c0a135c91e39c1f75bd78f9b62606a8b302ed4bb35280f8369fe4c53876,32
9a70d0700ad55bbc6b38f31a9acc963200bd3ffadccc27f4202a2b5c5928c4d5,-37e87a9a0ee7451aa6ff2d80e489fa44d98d714dcd4442fd6de49c0fa3d3a7bd,32
f7ae2f492581171bd64d9e15a14f94c89694e1f42b0eac35e32b56b9646ca68,-af7fef877b2d2df5687e708114580f1a547261e792031cdef7df07804741db14,32
1522162c75ac78da5553433a8b5c06443c5fed77a51bf9687d46afc80589784a,-892c40a92c0f81b3730af83d21720048133fd04d36bd5bbb23f97c39b2a4afd5,32
568f7081858fc9d2778b56c239be72a4841badfddf60c053bcc3a234fe8604b0,-7e1135a4b29cc3f46bf3d770beec8dcde820c6e6d1225b99769d41acd70a4cb9,31
8aeaea5803d2ad5cb4fd2aa5c7bad7fc07eae3543442259dce4dc66e22fafa77,a2f8f89cf26f2fbf8b6416c52861a76fb7a59305d903d252a983fcd1ec9acbb,31
4b43cbccd8e1e05142ae2a250b043fa548f6cdbcd204d019b302f9f94d8c2d57,-9334b863d59efe43acde9daaf0afc1e389de8011abb4a6849d78a9251e9deeca,32
e30af86627a6e078c8be584b82beaee9c1d08b8e6569bcb369b055022abe3c81,-c1ee3a92d3d105067e8c989a14942a063730cf8dc45352ad4f5ff1fb44bdbef8,32
9e3f3d68ea6fad1392a553c83544d9c81623b32605ed67b9dd7ef024094fe54e,-5423795f48f0d1bceec705bddba623ccb64ae7b3bf4815367076a1de474ef95d,31
bbafff92657d301c2e288816af84f36dab1a98ce3c7d4f8415113f032ba427ba,-7b72fdfb7d29a06c59a21947902ee7c663792f1c6be4219e313ba686369fc296,32
b4888ca110dca5a5354105e0889d86b8e4678d9fc757546688e94b0660086641,-7dfd910c0ba41a8566f88cf9f9124003ca460bc42bbee9690bd16e7090e362b1,32
ffa9fe797dff360b51a9a43720acecfc7ded266d0089dc335c024543ff3d9712,-7c8eac3d0e12421554638592a35a71c3c5abdc9728852258e38fda3579fe8a66,32
229e53799eddcd14debe14d2492559032c1a9d29989db241de0c338c63f19330,-5317a2b9ce284f8708967fb8afb915d58c27a7b44bc49131c55b9fa84839775a,31
3c60e7c376a15ee6fd036f7496ed0c4109ab7a3a4163ae888c74a3d73790d25c,-f8d22a6e4c3b226a6b115674ef620d6b75fb112e28d1f0514598f2b6d982555,32
71272c8f005e92d0a1919b96217f1ad6185863cbb5bb061c71265fcb775d654b,-288e4f74eb810f7c73d4f71e195d0907d35480b9ec16c4bcd740fe9fd4793efc,31
c57f222e31660d356c3bd084a5d026d5d83792da134ed12dd32dc7e3fb1cc0a9,-eae6bf11c9926ca2937b1f6cc80b680135c6a90d43fcfc24fff44fba2cdd49b4,32
